id,transdate,description,amount,category,accountname,
139,28-Mar-07,,-66,Utilities,CAD CHECKING,
140,28-Mar-07,,-4.17,Coffee Shops,CAD CHECKING,
141,28-Mar-07,,-18,Restaurants,CAD CHECKING,
142,28-Mar-07,,-14.84,Fast Food,CAD CHECKING,
143,31-Mar-07,,-8,Restaurants,CAD CHECKING,
144,1-Apr-07,,-1,Parking,CAD CREDIT CARD,
145,1-Apr-07,,-21,Restaurants,CAD CREDIT CARD,
146,2-Apr-07,,-8.48,Fast Food,CAD CHECKING,
147,2-Apr-07,,1098.07,Mortgage & Rent,CAD CHECKING,
148,2-Apr-07,,-159.45,Education,CAD CHECKING,
149,3-Apr-07,,-26,Clothing,CAD CHECKING,
150,4-Apr-07,,-107.41,Clothing,CAD CHECKING,
151,4-Apr-07,,-292,Mortgage & Rent,CAD CHECKING,
152,4-Apr-07,,55.4,Taxes,CAD CHECKING,
153,5-Apr-07,,-21.2,Groceries,CAD CHECKING,
154,5-Apr-07,,-26.24,Education,CAD CHECKING,
155,5-Apr-07,,-3.05,Fast Food,CAD CHECKING,
156,7-Apr-07,,-3.15,Fast Food,CAD CHECKING,
157,8-Apr-07,,-23.85,Utilities,CAD CHECKING,
158,8-Apr-07,,-186.91,Education,CAD CHECKING,
159,8-Apr-07,,-19,Restaurants,CAD CHECKING,
160,8-Apr-07,,-226.85,Travel,CAD CHECKING,
161,9-Apr-07,,-28.9,Gift,CAD CHECKING,
162,9-Apr-07,,-53.73,Clothing,CAD CHECKING,
163,10-Apr-07,,-9.23,Personal Care,CAD CHECKING,
164,11-Apr-07,,-456.62,Education,CAD CHECKING,
165,12-Apr-07,,-7.55,Restaurants,CAD CHECKING,
166,12-Apr-07,,-10.74,Fast Food,CAD CHECKING,
167,14-Apr-07,,-2.26,Groceries,CAD CHECKING,
168,14-Apr-07,,-63.3,Alcohol & Bars,CAD CHECKING,
169,15-Apr-07,,-11.5,Restaurants,CAD CHECKING,
170,15-Apr-07,,-77.21,Groceries,CAD CHECKING,
171,16-Apr-07,,-11.98,Transportation,CAD CREDIT CARD,
172,16-Apr-07,,-59,Gas & Fuel,CAD CHECKING,
173,17-Apr-07,,-7.08,Transportation,CAD CREDIT CARD,
174,17-Apr-07,,-7.98,Personal Care,CAD CHECKING,
175,18-Apr-07,,74.36,Education,CAD CHECKING,
176,18-Apr-07,,-690.95,Utilities,CAD CHECKING,
177,18-Apr-07,,255,Gift Received,CAD CHECKING,
178,19-Apr-07,,-8.12,Fast Food,CAD CHECKING,
179,20-Apr-07,,-7.31,Transportation,CAD CREDIT CARD,
180,21-Apr-07,,-4,Groceries,CAD CHECKING,
181,21-Apr-07,,-25.67,Transportation,CAD CREDIT CARD,
182,22-Apr-07,,-18.49,Restaurants,CAD CHECKING,
183,22-Apr-07,,-42.03,Groceries,CAD CHECKING,
184,22-Apr-07,,-14.74,Personal Care,CAD CHECKING,
185,23-Apr-07,,-52.94,Education,CAD CREDIT CARD,
186,25-Apr-07,,-1046.39,Education,CAD CHECKING,
187,26-Apr-07,,-20,Groceries,CAD CHECKING,
188,29-Apr-07,,-28.6,Transportation,CAD CREDIT CARD,
189,30-Apr-07,,-19.56,Transportation,CAD CREDIT CARD,
190,1-May-07,,-45.72,Gas & Fuel,CAD CHECKING,
191,1-May-07,,-1.11,Transportation,CAD CREDIT CARD,
192,1-May-07,,-13,Parking,CAD CREDIT CARD,
193,1-May-07,,-2.42,Misc Expenses,CAD CHECKING,
194,1-May-07,,-3.42,Fast Food,CAD CHECKING,
195,1-May-07,,-5.69,Education,CAD CHECKING,
196,1-May-07,,568.5,Mortgage & Rent,CAD CHECKING,
197,2-May-07,,500.6,Mortgage & Rent,CAD CHECKING,
198,3-May-07,,-7.5,Fast Food,CAD CHECKING,
199,3-May-07,,-30.78,Utilities,CAD CHECKING,
200,4-May-07,,-1.02,Groceries,CAD CHECKING,
201,4-May-07,,-332,Mortgage & Rent,CAD CHECKING,
202,4-May-07,,-5.84,Fast Food,CAD CHECKING,
203,4-May-07,,-11.98,Fast Food,CAD CHECKING,
204,7-May-07,,-2.23,Fast Food,CAD CHECKING,
205,7-May-07,,-1.77,Fast Food,CAD CHECKING,
206,8-May-07,,-4,Groceries,CAD CHECKING,
207,8-May-07,,-21,Fast Food,CAD CHECKING,
208,9-May-07,,-4.34,Fast Food,CAD CHECKING,
209,10-May-07,,-9,Coffee Shops,CAD CHECKING,
210,10-May-07,,-7.73,Groceries,CAD CHECKING,
211,11-May-07,,-25.49,Restaurants,CAD CHECKING,
212,12-May-07,,-2.05,Fast Food,CAD CHECKING,
213,12-May-07,,-5.74,Fast Food,CAD CHECKING,
214,12-May-07,,-183.49,Credit Card Payment,CAD CHECKING,
215,13-May-07,,-56.42,Groceries,CAD CHECKING,
216,15-May-07,,174.08,Credit Card Payment,CAD CREDIT CARD,
217,16-May-07,,-12,Personal Care,CAD CHECKING,
218,17-May-07,,-2,Parking,CAD CREDIT CARD,
219,18-May-07,,-72.8,Gas & Fuel,CAD CHECKING,
220,18-May-07,,-21,Auto Insurance,CAD CHECKING,
221,18-May-07,,-16.16,Alcohol & Bars,CAD CHECKING,
222,19-May-07,,-3.89,Fast Food,CAD CHECKING,
223,19-May-07,,-6.27,Transportation,CAD CREDIT CARD,
224,20-May-07,,-9.3,Rental Car & Taxi,CAD CHECKING,
225,20-May-07,,315,Gift Received,CAD CHECKING,
226,20-May-07,,-5.46,Personal Care,CAD CHECKING,
227,21-May-07,,-2.8,Fast Food,CAD CHECKING,
228,21-May-07,,-28.6,Health & Fitness,CAD CHECKING,
229,21-May-07,,-1070,Transfer,CAD CHECKING,
230,22-May-07,,-1.77,Gas & Fuel,CAD CHECKING,
231,22-May-07,,-3.34,Fast Food,CAD CHECKING,
232,22-May-07,,-4.8,Fast Food,CAD CHECKING,
233,23-May-07,,-19,Restaurants,CAD CHECKING,
234,24-May-07,,-9.2,Groceries,CAD CHECKING,
235,24-May-07,,-15.8,Alcohol & Bars,CAD CHECKING,
236,26-May-07,,-4.15,Fast Food,CAD CHECKING,
237,27-May-07,,-3.11,Entertainment,CAD CHECKING,
238,27-May-07,,-48.72,Groceries,CAD CHECKING,
239,27-May-07,,-30.82,Groceries,CAD CHECKING,
240,28-May-07,,-4.23,Fast Food,CAD CHECKING,
241,29-May-07,,-5.28,Gift,CAD CHECKING,
242,29-May-07,,-29.5,Entertainment,CAD CHECKING,
243,31-May-07,,-4.09,Fast Food,CAD CHECKING,
244,31-May-07,,-224,Mortgage & Rent,CAD CHECKING,
245,31-May-07,,-46.67,Gas & Fuel,CAD CHECKING,
246,2-Jun-07,,-30,Hair,CAD CREDIT CARD,
247,5-Jun-07,,-11.81,Alcohol & Bars,CAD CREDIT CARD,
248,5-Jun-07,,-9,Restaurants,CAD CREDIT CARD,
249,8-Jun-07,,-43.1,Utilities,CAD CREDIT CARD,
250,8-Jun-07,,-12.4,Entertainment,CAD CHECKING,
251,9-Jun-07,,289.44,Mortgage & Rent,CAD CHECKING,
252,9-Jun-07,,-37.41,Alcohol & Bars,CAD CREDIT CARD,
253,10-Jun-07,,-6.25,Fast Food,CAD CHECKING,
254,11-Jun-07,,-27,Fast Food,CAD CREDIT CARD,
255,11-Jun-07,,998.4,Taxes,CAD CHECKING,
256,12-Jun-07,,-6.35,Fast Food,CAD CREDIT CARD,
257,12-Jun-07,,1518.4,Transfer,CAD CHECKING,
258,12-Jun-07,,-85.4,Groceries,CAD CHECKING,
259,14-Jun-07,,-3,Parking,CAD CREDIT CARD,
260,15-Jun-07,,-1.4,Misc Expenses,CAD CHECKING,
261,15-Jun-07,,-2.27,Entertainment,CAD CHECKING,
262,15-Jun-07,,-4.91,Utilities,CAD CHECKING,
263,15-Jun-07,,-66.65,Credit Card Payment,CAD CHECKING,
264,15-Jun-07,,59.24,Credit Card Payment,CAD CREDIT CARD,
265,15-Jun-07,,-50.19,Restaurants,CAD CREDIT CARD,
266,16-Jun-07,,-21.03,Utilities,CAD CHECKING,
267,16-Jun-07,,339,Gift Received,CAD CHECKING,
268,17-Jun-07,,-1,Parking,CAD CREDIT CARD,
269,18-Jun-07,,-4.17,Fast Food,CAD CHECKING,
270,18-Jun-07,,-6,Education,CAD CHECKING,
271,19-Jun-07,,-2.19,Gift,CAD CHECKING,
272,20-Jun-07,,-5.08,Fast Food,CAD CHECKING,
273,20-Jun-07,,-53.34,Gas & Fuel,CAD CHECKING,
274,20-Jun-07,,-6,Groceries,CAD CHECKING,
275,23-Jun-07,,-3.68,Fast Food,CAD CHECKING,
276,24-Jun-07,,-39,Restaurants,CAD CREDIT CARD,
277,25-Jun-07,,-5.8,Groceries,CAD CHECKING,
278,25-Jun-07,,-22.45,Utilities,CAD CHECKING,
279,26-Jun-07,,124.5,Mortgage & Rent,CAD CHECKING,
280,26-Jun-07,,-26,Gift,CAD CREDIT CARD,
281,27-Jun-07,,-29.5,Entertainment,CAD CHECKING,
282,27-Jun-07,,-15.11,Fast Food,CAD CHECKING,
283,28-Jun-07,,-21,Personal Care,CAD CHECKING,
284,28-Jun-07,,-14.1,Fast Food,CAD CHECKING,
285,29-Jun-07,,-345.72,Credit Card Payment,CAD CHECKING,
286,30-Jun-07,,-568,Mortgage & Rent,CAD CHECKING,
287,2-Jul-07,,-28.07,Fast Food,CAD CREDIT CARD,
288,4-Jul-07,,334.2,Credit Card Payment,CAD CREDIT CARD,
289,4-Jul-07,,-4.23,Fast Food,CAD CHECKING,
290,5-Jul-07,,30.78,Taxes,CAD CHECKING,
291,6-Jul-07,,-35.57,Gas & Fuel,CAD CHECKING,
292,7-Jul-07,,-5.6,Fast Food,CAD CHECKING,
293,8-Jul-07,,-18.05,Groceries,CAD CHECKING,
294,11-Jul-07,,-13,Alcohol & Bars,CAD CHECKING,
295,13-Jul-07,,668.62,Mortgage & Rent,CAD CHECKING,
296,14-Jul-07,,-2.75,Fast Food,CAD CHECKING,
297,15-Jul-07,,-36.63,Groceries,CAD CHECKING,
298,15-Jul-07,,-54.53,Furnishings,CAD CHECKING,
299,16-Jul-07,,-8,Fast Food,CAD CHECKING,
300,17-Jul-07,,-45.35,Groceries,CAD CHECKING,
301,17-Jul-07,,234,Gift Received,CAD CHECKING,
302,19-Jul-07,,-2.09,Fast Food,CAD CHECKING,
303,19-Jul-07,,-9.67,Entertainment,CAD CHECKING,
304,19-Jul-07,,-6.05,Fast Food,CAD CHECKING,
305,20-Jul-07,,-83.34,Groceries,CAD CHECKING,
306,21-Jul-07,,-10.27,Entertainment,CAD CHECKING,
307,24-Jul-07,,-59.32,Electronics & Software,CAD CHECKING,
308,24-Jul-07,,-429.54,Clothing,CAD CHECKING,
309,25-Jul-07,,-3.6,Education,CAD CHECKING,
310,25-Jul-07,,-18.48,Clothing,CAD CHECKING,
311,26-Jul-07,,-10.7,Electronics & Software,CAD CHECKING,
312,28-Jul-07,,-3.9,Fast Food,CAD CHECKING,
313,28-Jul-07,,-46.19,Gas & Fuel,CAD CHECKING,
314,29-Jul-07,,-11.13,Fast Food,CAD CHECKING,
315,29-Jul-07,,-104.13,Utilities,CAD CREDIT CARD,
316,30-Jul-07,,-2.89,Clothing,CAD CHECKING,
317,30-Jul-07,,-24.11,Utilities,CAD CHECKING,
318,30-Jul-07,,-544,Transfer,CAD CHECKING,
319,30-Jul-07,,-6.51,Fast Food,CAD CHECKING,
320,30-Jul-07,,-14.2,Restaurants,CAD CHECKING,
321,31-Jul-07,,-32.21,Clothing,CAD CHECKING,
322,31-Jul-07,,-22.5,Groceries,CAD CHECKING,
323,31-Jul-07,,-123,Education,CAD CHECKING,
324,2-Aug-07,,-10.8,Entertainment,CAD CHECKING,
325,4-Aug-07,,-12.09,Groceries,CAD CHECKING,
326,5-Aug-07,,-33.5,Utilities,CAD CHECKING,
327,5-Aug-07,,-188.79,Utilities,CAD CHECKING,
328,6-Aug-07,,-53.64,Credit Card Payment,CAD CHECKING,
329,7-Aug-07,,-6.31,Personal Care,CAD CHECKING,
330,7-Aug-07,,-9,Fast Food,CAD CHECKING,
331,7-Aug-07,,-20.1,Gift,CAD CHECKING,
332,7-Aug-07,,710.67,Paycheck,CAD CHECKING,
333,8-Aug-07,,3281.82,Transfer,CAD CHECKING,
334,8-Aug-07,,-6.63,Fast Food,CAD CHECKING,
335,8-Aug-07,,-18.11,Entertainment,CAD CHECKING,
336,8-Aug-07,,-81.14,Clothing,CAD CHECKING,
337,9-Aug-07,,24.38,Credit Card Payment,CAD CREDIT CARD,
338,9-Aug-07,,-10.38,Clothing,CAD CHECKING,
339,9-Aug-07,,-18.4,Groceries,CAD CHECKING,
340,10-Aug-07,,-39.8,Restaurants,CAD CHECKING,
341,11-Aug-07,,-145.54,Loan Payment,CAD CHECKING,
342,11-Aug-07,,-11.5,Groceries,CAD CHECKING,
343,11-Aug-07,,-22,Hair,CAD CHECKING,
344,14-Aug-07,,247,Education,CAD CHECKING,
345,14-Aug-07,,155.97,Travel,CAD CHECKING,
346,14-Aug-07,,-1770,Transfer,CAD CHECKING,
347,14-Aug-07,,-3.87,Fast Food,CAD CHECKING,
348,14-Aug-07,,-22.51,Restaurants,CAD CREDIT CARD,
349,15-Aug-07,,-510.32,Education,CAD CREDIT CARD,
350,15-Aug-07,,-2,Fast Food,CAD CHECKING,
351,17-Aug-07,,-64.38,Groceries,CAD CHECKING,
352,19-Aug-07,,411,Gift Received,CAD CHECKING,
353,19-Aug-07,,-6.15,Fast Food,CAD CHECKING,
354,22-Aug-07,,133.81,Taxes,CAD CHECKING,
355,22-Aug-07,,-12.32,Coffee Shops,CAD CHECKING,
356,22-Aug-07,,-17.6,Utilities,CAD CREDIT CARD,
357,24-Aug-07,,-89.14,Gas & Fuel,CAD CHECKING,
358,24-Aug-07,,-1875,Transfer,CAD CHECKING,
359,25-Aug-07,,1371.76,Paycheck,CAD CHECKING,
360,26-Aug-07,,-2.39,Transportation,CAD CREDIT CARD,
361,28-Aug-07,,-23.01,Fast Food,CAD CREDIT CARD,
362,30-Aug-07,,-15.39,Utilities,CAD CHECKING,
363,30-Aug-07,,-25.7,Entertainment,CAD CHECKING,
364,31-Aug-07,,-524,Mortgage & Rent,CAD CHECKING,
365,2-Sep-07,,-11.1,Fast Food,CAD CHECKING,
366,2-Sep-07,,-58.16,Groceries,CAD CHECKING,
367,5-Sep-07,,-5,Education,CAD CREDIT CARD,
368,6-Sep-07,,-6.82,Fast Food,CAD CHECKING,
369,6-Sep-07,,1294.94,Paycheck,CAD CHECKING,
370,7-Sep-07,,-16.67,Restaurants,CAD CHECKING,
371,7-Sep-07,,-750,Transfer,CAD CHECKING,
372,7-Sep-07,,-14.2,Groceries,CAD CHECKING,
373,7-Sep-07,,-61.53,Restaurants,CAD CREDIT CARD,
374,8-Sep-07,,-29.03,Restaurants,CAD CHECKING,
375,8-Sep-07,,-13.86,Transportation,CAD CREDIT CARD,
376,8-Sep-07,,-622.87,Credit Card Payment,CAD CHECKING,
377,9-Sep-07,,503.6,Credit Card Payment,CAD CREDIT CARD,
378,10-Sep-07,,-8.84,Transportation,CAD CREDIT CARD,
379,11-Sep-07,,-10.8,Transportation,CAD CREDIT CARD,
380,12-Sep-07,,-167,Education,CAD CREDIT CARD,
381,12-Sep-07,,-2.22,Fast Food,CAD CHECKING,
382,15-Sep-07,,-34.16,Clothing,CAD CHECKING,
383,15-Sep-07,,-21.1,Restaurants,CAD CREDIT CARD,
384,16-Sep-07,,-10.04,Transportation,CAD CREDIT CARD,
385,16-Sep-07,,252,Gift Received,CAD CHECKING,
386,17-Sep-07,,-7.33,Alcohol & Bars,CAD CHECKING,
387,17-Sep-07,,-6.69,Transportation,CAD CREDIT CARD,
388,18-Sep-07,,-5.97,Transportation,CAD CREDIT CARD,
389,19-Sep-07,,-5.92,Fast Food,CAD CHECKING,
390,19-Sep-07,,-50.62,Groceries,CAD CHECKING,
391,19-Sep-07,,-3.84,Clothing,CAD CHECKING,
392,19-Sep-07,,1138.52,Paycheck,CAD CHECKING,
393,20-Sep-07,,-31.63,Electronics & Software,CAD CHECKING,
394,20-Sep-07,,-27.88,Alcohol & Bars,CAD CREDIT CARD,
395,22-Sep-07,,-70,Gas & Fuel,CAD CHECKING,
396,22-Sep-07,,-4.63,Coffee Shops,CAD CHECKING,
397,26-Sep-07,,-7.8,Fast Food,CAD CHECKING,
398,26-Sep-07,,-212.71,Utilities,CAD CHECKING,
399,28-Sep-07,,-5.02,Entertainment,CAD CHECKING,
400,28-Sep-07,,-707,Travel,CAD CHECKING,
401,28-Sep-07,,-27.7,Entertainment,CAD CHECKING,
402,29-Sep-07,,-38.55,Utilities,CAD CHECKING,
403,29-Sep-07,,-6.78,Laundry,CAD CHECKING,
404,30-Sep-07,,-22.45,Entertainment,CAD CHECKING,
405,1-Oct-07,,-56.32,Restaurants,CAD CREDIT CARD,
406,2-Oct-07,,-42.45,Furnishings,CAD CHECKING,
407,2-Oct-07,,-404,Mortgage & Rent,CAD CHECKING,
408,2-Oct-07,,1472.28,Paycheck,CAD CHECKING,
409,3-Oct-07,,-3.68,Fast Food,CAD CHECKING,
410,3-Oct-07,,-17.42,Groceries,CAD CHECKING,
411,3-Oct-07,,-231.93,Credit Card Payment,CAD CHECKING,
412,4-Oct-07,,-13.51,Coffee Shops,CAD CHECKING,
413,4-Oct-07,,-4.78,Fast Food,CAD CHECKING,
414,4-Oct-07,,-20.3,Entertainment,CAD CHECKING,
415,5-Oct-07,,104.76,Taxes,CAD CHECKING,
416,5-Oct-07,,-5.1,Fast Food,CAD CHECKING,
417,5-Oct-07,,-6.37,Coffee Shops,CAD CHECKING,
418,7-Oct-07,,-21.52,Groceries,CAD CHECKING,
419,8-Oct-07,,-9.06,Coffee Shops,CAD CHECKING,
420,9-Oct-07,,231.93,Credit Card Payment,CAD CREDIT CARD,
421,10-Oct-07,,-25.41,Clothing,CAD CHECKING,
422,10-Oct-07,,-14.39,Clothing,CAD CHECKING,
423,10-Oct-07,,-43.78,Furnishings,CAD CHECKING,
424,11-Oct-07,,-28.74,Groceries,CAD CHECKING,
425,11-Oct-07,,-23.86,Alcohol & Bars,CAD CHECKING,
426,12-Oct-07,,-6.03,Fast Food,CAD CHECKING,
427,12-Oct-07,,-10.98,Restaurants,CAD CHECKING,
428,15-Oct-07,,-8.05,Fast Food,CAD CHECKING,
429,15-Oct-07,,-5.85,Groceries,CAD CHECKING,
430,16-Oct-07,,246,Gift Received,CAD CHECKING,
431,17-Oct-07,,-17.7,Coffee Shops,CAD CHECKING,
432,17-Oct-07,,138.13,Mortgage & Rent,CAD CHECKING,
433,19-Oct-07,,868.89,Paycheck,CAD CHECKING,
434,19-Oct-07,,-6.67,Entertainment,CAD CHECKING,
435,20-Oct-07,,27.2,Mortgage & Rent,CAD CHECKING,
436,20-Oct-07,,-5.33,Fast Food,CAD CHECKING,
437,20-Oct-07,,-19,Hair,CAD CHECKING,
438,20-Oct-07,,-65,Gas & Fuel,CAD CHECKING,
439,21-Oct-07,,-83.03,Groceries,CAD CHECKING,
